university,code
bursa teknik ü.,53
bursa teknik üniversitesi,53
bursa uludağ ü.,54
bursa uludağ üniversitesi,54
demiroğlu bilim ü.,55
demiroğlu bilim üniversitesi,55
demi̇roğlu bi̇li̇m üni̇versi̇tesi̇,55
dicle ü.,56
dicle üniversitesi,56
dokuz eylül ü.,57
dokuz eylül üniversitesi,57
doğu akdeni̇z üni̇versi̇tesi̇,58
doğuş ü.,59
doğuş üniversitesi,59
doğuş üni̇versi̇tesi̇,59
doğuş üni̇versi̇tesi̇ (i̇ngilizce),59
doğuş üniversitesi,59
düzce ü.,60
düzce üniversitesi,60
ege ü.,61
ege üniversitesi,61
erciyes ü.,62
erciyes üniversitesi,62
erzincan binali yıldırım ü.,63
erzincan binali yıldırım üniversitesi,63
erzincan binali yıldırım üniversitesi,63
erzurum teknik ü.,64
erzurum teknik üniversitesi,64
eskişehir osmangazi ü.,65
eskişehir osmangazi üniversitesi,65
eskişehir teknik ü.,66
eskişehir teknik üniversitesi,66
fatih sultan mehmet vakıf ü.,67
fatih sultan mehmet vakıf üniversitesi,67
"fati̇h sultan mehmet vakif 
üni̇versi̇tesi̇",67
fati̇h sultan mehmet vakif üni̇versi̇tesi̇,67
fenerbahçe ü.,68
fenerbahçe üniversitesi,68
fenerbahçe üni̇versi̇tesi̇,68
fenerbahçe üni̇versi̇tesi̇***,68
fenerbahçe üniversitesi,68
fırat ü.,69
fırat üniversitesi,69
galatasaray ü.,70
galatasaray üniversitesi,70
gazi ü.,71
gazi üniversitesi,71
gaziantep i̇slam bilim ve tek. ü.,72
gaziantep i̇slam bilim ve teknoloji üniversitesi,72
gaziantep ü.,73
gaziantep üniversitesi,73
gaziantep i̇slam bilim ve teknoloji üniversitesi,72
gebze teknik ü.,74
gebze teknik üniversitesi,74
giresun ü.,75
giresun üniversitesi,75
gi̇rne ameri̇kan üni̇versi̇tesi̇,76
gi̇rne üni̇versi̇tesi̇,77
gümüşhane ü.,78
gümüşhane üniversitesi,78
gümüşhane üniversitesi,78
hacettepe ü.,79
hacettepe üniversitesi,79
hakkâri ü.,80
hakkâri üniversitesi,80
hakkâri üniversitesi,80
haliç ü.,81
haliç üniversitesi,81
haliç üniversitesi,81
hali̇ç üni̇versi̇tesi̇,81
harran ü.,82
harran üniversitesi,82
hasan kalyoncu ü.,83
hasan kalyoncu üniversitesi,83
hasan kalyoncu üni̇versi̇tesi̇,83
hasan kalyoncu üni̇versi̇tesi̇  (i̇ngilizce),83
hasan kalyoncu üni̇versi̇tesi̇ (i̇ngilizce),83
hatay mustafa kemal ü.,84
hatay mustafa kemal üniversitesi,84
hitit ü.,85
hitit üniversitesi,85
isparta uygulamalı bilimleri ü.,86
isparta uygulamalı bilimleri üniversitesi,86
isparta uygulamalı bilimleri üniversitesi,86
iğdır ü.,87
iğdır üniversitesi,87
iğdır üniversitesi,87
işik üni̇versi̇tesi̇,88
işik üni̇versi̇tesi̇  (i̇ngilizce),88
