code,university,uni
153,kırşehir ahi evran ü.,ahievran
154,lefke avrupa üni̇versi̇tesi̇,lau
155,lokman hekim ü.,lhekim
156,malatya turgut özal ü.,ozal
157,maltepe ü.,maltepe
158,manisa celâl bayar ü.,mcbu
159,mardin artuklu ü.,mardin
160,marmara ü.,marmara
161,mef ü.,mef
162,mersin ü.,meu
163,mimar sinan güzel sanatlar ü.,msgsu
164,munzur ü.,munzur
165,muğla sıtkı koçman ü.,msku
166,muş alparslan ü.,muş
167,necmettin erbakan ü.,erbakan
168,nevşehir hacı bektaş veli ü.,nevşehir
169,niğde ömer halisdemir ü.,ohu
170,nişantaşı ü.,nişantaşı
171,nuh naci yazgan ü.,nny
172,ondokuz mayıs ü.,omu
173,ordu ü.,ordu
174,orta doğu teknik ü.,odtu
175,osmaniye korkut ata ü.,osmaniye
176,ostim teknik ü.,ostim
177,pamukkale ü.,pau
178,piri reis ü.,preis
179,rauf denktaş üni̇versi̇tesi̇,rdu
180,recep tayyip erdoğan ü.,rte
181,sabanci üni̇versi̇tesi̇,sabancı
182,sakarya uygulamalı bilimler ü.,subu
183,sakarya ü.,sau
184,samsun ü.,omu
185,sanko ü.,sanko
186,sağlık bilimleri ü.,sbu
187,selçuk ü.,selçuk
188,siirt ü.,siirt
189,sinop ü.,sinop
190,sivas cumhuriyet ü.,sivas
191,süleyman demirel ü.,sdu
192,tarsus ü.,tarsus
193,ted ü.,ted
194,tekirdağ namık kemal ü.,nku
195,tobb ekonomi ve teknoloji ü.,tobb
196,tokat gaziosmanpaşa ü.,gop
197,toros ü.,toros
198,trabzon ü.,tru
199,trakya ü.,trakya
200,"türk hava kurumu 
üni̇versi̇tesi̇",thku
201,türk-alman ü.,tau
202,ufuk ü.,ufuk
203,uluslararasi fi̇nal üni̇versi̇tesi̇,final
204,uluslararasi kibris üni̇versi̇tesi̇,ciu
205,uşak ü.,uşak
206,van yüzüncü yıl ü.,yyu
207,yakin doğu üni̇versi̇tesi̇,neu
208,yalova ü.,yalova
209,yaşar ü.,yaşar
210,yeditepe ü.,yeditepe
211,yozgat bozok ü.,bozok
212,yüksek i̇htisas ü.,yiu
213,yıldız teknik ü.,ytu
214,zonguldak bülent ecevit ü.,beun
215,çanakkale onsekiz mart ü.,comu
216,çankaya ü.,çankaya
217,çankırı karatekin ü.,karatekin
218,çağ ü.,çağ
219,çukurova ü.,çü
220,özyeğin ü.,özyeğin
221,üsküdar ü.,üsküdar
222,şırnak ü.,şırnak
